slurm submission log: 2019-11-29 23:03:21.277993
created following sbatch script: 

###############################

#!/bin/bash

#SBATCH --cpus-per-task=3
#SBATCH --gres=gpu:1
#SBATCH --job-name=shilun-job-2052837
#SBATCH --mem=16G
#SBATCH --open-mode=append
#SBATCH --output=baseline
#SBATCH --partition=jag-standard
#SBATCH --time=10-0

# activate your desired anaconda environment
source activate py-3.6.8

# cd to working directory
cd .

# launch commands
srun --unbuffered run_as_child_processes 'python robust_BERT.py --train_full --ball Baseline'

###############################

submission to slurm complete!


###############################
slurm submission output

Submitted batch job 1155759



###############################

/var/lib/slurm/slurmd/job1155759/slurm_script: line 13: activate: No such file or directory
###############################
start time: 2019-11-29 23:03:27.222504
machine: jagupard5.stanford.edu
conda env: allan
###############################
running following processes

	python robust_BERT.py --train_full --ball Baseline


###############################
command outputs: 


LARGE: False
MAX_LEN: 256
HIDDEN_DIM: 256
N_LAYERS: 2
BIDIRECTIONAL: True
DROPOUT: 0.5
N_EPOCHS: 1
TRAIN_IMDB: True
LEARNING_RATE: 0.0005
RADIUS: 5
BALL_TYPE: Baseline
====training on imdb and testing on tomato======
=========Starting Training epoch #0==========
epoch:0, step: 0, acc: 0.0, time: 1.808s
epoch:0, step: 10, acc: 0.524, time: 19.868s
epoch:0, step: 20, acc: 0.584, time: 19.773s
epoch:0, step: 30, acc: 0.69, time: 19.813s
epoch:0, step: 40, acc: 0.802, time: 19.865s
epoch:0, step: 50, acc: 0.78, time: 19.886s
epoch:0, step: 60, acc: 0.804, time: 19.775s
epoch:0, step: 70, acc: 0.818, time: 19.719s
epoch:0, step: 80, acc: 0.806, time: 19.711s
epoch:0, step: 90, acc: 0.806, time: 19.821s
epoch:0, step: 100, acc: 0.802, time: 19.687s
epoch:0, step: 110, acc: 0.804, time: 19.795s
epoch:0, step: 120, acc: 0.838, time: 19.884s
epoch:0, step: 130, acc: 0.838, time: 19.786s
epoch:0, step: 140, acc: 0.8, time: 19.813s
epoch:0, step: 150, acc: 0.804, time: 19.719s
epoch:0, step: 160, acc: 0.858, time: 19.687s
epoch:0, step: 170, acc: 0.826, time: 19.866s
epoch:0, step: 180, acc: 0.814, time: 19.696s
epoch:0, step: 190, acc: 0.832, time: 19.837s
epoch:0, step: 200, acc: 0.848, time: 19.788s
epoch:0, step: 210, acc: 0.852, time: 19.772s
epoch:0, step: 220, acc: 0.838, time: 19.889s
epoch:0, step: 230, acc: 0.802, time: 19.907s
epoch:0, step: 240, acc: 0.842, time: 19.859s
epoch:0, step: 250, acc: 0.878, time: 19.841s
epoch:0, step: 260, acc: 0.822, time: 19.741s
epoch:0, step: 270, acc: 0.846, time: 19.753s
epoch:0, step: 280, acc: 0.86, time: 19.816s
epoch:0, step: 290, acc: 0.854, time: 20.06s
epoch:0, step: 300, acc: 0.876, time: 19.774s
epoch:0, step: 310, acc: 0.822, time: 19.662s
epoch:0, step: 320, acc: 0.8, time: 19.827s
epoch:0, step: 330, acc: 0.836, time: 19.945s
epoch:0, step: 340, acc: 0.844, time: 19.859s
epoch:0, step: 350, acc: 0.832, time: 19.767s
epoch:0, step: 360, acc: 0.866, time: 19.761s
epoch:0, step: 370, acc: 0.85, time: 19.89s
epoch:0, step: 380, acc: 0.844, time: 19.774s
epoch:0, step: 390, acc: 0.842, time: 19.815s
epoch:0, step: 400, acc: 0.858, time: 19.807s
epoch:0, step: 410, acc: 0.85, time: 19.84s
epoch:0, step: 420, acc: 0.864, time: 19.805s
epoch:0, step: 430, acc: 0.834, time: 19.721s
epoch:0, step: 440, acc: 0.88, time: 19.812s
epoch:0, step: 450, acc: 0.848, time: 19.835s
epoch:0, step: 460, acc: 0.852, time: 19.731s
epoch:0, step: 470, acc: 0.852, time: 19.769s
epoch:0, step: 480, acc: 0.814, time: 19.827s
epoch:0, step: 490, acc: 0.834, time: 19.824s
Epoch: 01 | Epoch Time: 16m 30s
	Train Loss: 0.392 | Train Acc: 82.10%
	 Val. Loss: 0.355 |  Val. Acc: 84.50%
=====test result on own dataset=====
	 Test. Loss: 0.368 |  Test. Acc: 84.10%

=====test result on other dataset=====
	 Test. Loss: 0.458 |  Test. Acc: 79.93%
###############################
end time: 2019-11-29 23:25:12.695742
elapsed time: 0:21:45.473238
